ID	Title	Status	Last Updated
REQ-001	CLI Bootstrapping	Completed	2026-04-16
REQ-002	REST API Core	Completed	2026-04-16
REQ-003	Admin Dashboard UI	Completed	2026-04-16
REQ-004	Tool Definition System	Completed	2026-04-16
REQ-005	Claude Code Chat Terminal	Completed	2026-04-17
REQ-006	Terminal Session Management	Completed	2026-04-17
REQ-007	Slash Skill Auto-Complete	Completed	2026-04-17
REQ-008	Collapsible Sidebar Toggle	Completed	2026-04-17
REQ-009	Stream Reconnect on Session Reload	Completed	2026-04-18
REQ-010	Interactive Question UI in Terminal	Completed	2026-04-18
REQ-011	Workflow Engine	In-Progress	2026-04-18
REQ-012	Workflow Foundation	In-Progress	2026-04-18
REQ-013	Workflow Kanban Screen	Completed	2026-04-18
REQ-014	Workflow Item Detail Modal & Add Item	Completed	2026-04-18
REQ-015	Editable Stage Information from Kanban Column	Completed	2026-04-18
REQ-016	Stage Prompt Pipeline: Auto-dispatch Todo Items to Agent Session	Completed	2026-04-18
REQ-017	Copy Resume Command from Session	Completed	2026-04-18
REQ-00092	File System Browser UI	Completed	2026-04-22
